research_join_key,signal_time,signal_time_msc,side,s2_gate,gate_reason,history_count,mean20_shadow_bps,median20_shadow_bps,mean5_shadow_bps,status,entry_bid,entry_ask,target_ask,shadow_10m_bps,m5_atr,stop_distance,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1780305300197_SELL,2026.06.01 09:15:00,1780305300197,SELL,REJECT,WARMUP,0,0.000000,0.000000,0.000000,OK,4514.15,4514.32,4506.13,17.766357,5.04,6.30,TIME_EXIT,1780305900394,4506.13,1.273377,1.201703,1.130030
1780316700002_SELL,2026.06.01 12:25:00,1780316700002,SELL,REJECT,WARMUP,1,0.000000,0.000000,0.000000,OK,4499.65,4499.82,4490.93,19.379285,4.70,5.87,TIME_EXIT,1780317300030,4490.93,1.484707,1.408094,1.331480
1780327500017_SELL,2026.06.01 15:25:00,1780327500017,SELL,REJECT,WARMUP,2,0.000000,0.000000,0.000000,OK,4501.90,4502.07,4501.19,1.577112,4.32,5.40,HARD_SL,1780327594168,4507.42,-1.023068,-1.106506,-1.189943
1780329600032_SELL,2026.06.01 16:00:00,1780329600032,SELL,REJECT,WARMUP,3,0.000000,0.000000,0.000000,OK,4502.25,4502.42,4501.24,2.243323,5.13,6.41,TIME_EXIT,1780330200178,4501.24,0.157571,0.087331,0.017091
1780353900068_SELL,2026.06.01 22:45:00,1780353900068,SELL,REJECT,WARMUP,4,0.000000,0.000000,0.000000,OK,4483.52,4483.69,4480.23,7.337984,2.02,2.53,TIME_EXIT,1780354500106,4480.23,1.300212,1.123022,0.945833
1780368600011_SELL,2026.06.02 02:50:00,1780368600011,SELL,REJECT,WARMUP,5,0.000000,0.000000,0.000000,OK,4481.12,4481.37,4484.67,-7.922127,2.90,3.62,HARD_SL,1780368854858,4484.80,-1.016424,-1.140194,-1.263963
1780372800001_SELL,2026.06.02 04:00:00,1780372800001,SELL,REJECT,WARMUP,6,0.000000,0.000000,0.000000,OK,4481.37,4481.58,4479.58,3.994314,4.68,5.86,TIME_EXIT,1780373400046,4479.58,0.305703,0.229168,0.152634
1780375200009_SELL,2026.06.02 04:40:00,1780375200009,SELL,REJECT,WARMUP,7,0.000000,0.000000,0.000000,OK,4481.86,4482.07,4475.63,13.900479,7.03,8.78,TIME_EXIT,1780375800023,4475.63,0.709322,0.658293,0.607265
1780452000017_SELL,2026.06.03 02:00:00,1780452000017,SELL,REJECT,WARMUP,8,0.000000,0.000000,0.000000,OK,4484.76,4485.01,4482.37,5.329159,3.86,4.83,TIME_EXIT,1780452600029,4482.37,0.494970,0.402091,0.309211
1780460100006_SELL,2026.06.03 04:15:00,1780460100006,SELL,REJECT,WARMUP,9,0.000000,0.000000,0.000000,OK,4471.36,4471.57,4466.43,11.025728,5.97,7.46,TIME_EXIT,1780460700018,4466.43,0.661032,0.601078,0.541125
1780471800004_SELL,2026.06.03 07:30:00,1780471800004,SELL,REJECT,WARMUP,10,0.000000,0.000000,0.000000,OK,4477.09,4477.30,4471.79,11.838047,2.65,3.32,TIME_EXIT,1780472400140,4471.79,1.598707,1.463659,1.328611
