position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
2,XAUUSD,PERIOD_H1,26090401,SELL,2,3,2,3,2025.01.06 09:00:00,2025.01.06 13:14:30,15270,4.2417,0.1000,0.1000,2631.49,2636.50,2636.49,2611.49,-50.10,0.00,0.00,0.00,-50.10,DEAL_REASON_SL,STOP_LOSS,9949.90,OK,14193,2625.31,2636.50,618.0,501.0,61.80,50.10,1.2360,1.0020
4,XAUUSD,PERIOD_H1,26090401,BUY,4,5,4,5,2025.01.07 14:00:00,2025.01.07 17:07:29,11249,3.1247,0.0900,0.0900,2648.63,2643.55,2643.63,2668.63,-45.72,0.00,0.00,0.00,-45.72,DEAL_REASON_SL,STOP_LOSS,9904.18,OK,15443,2664.33,2643.55,1570.0,508.0,141.30,45.72,3.1400,1.0160
6,XAUUSD,PERIOD_H1,26090401,SELL,6,7,6,7,2025.01.13 20:00:00,2025.01.14 01:27:00,19620,5.4500,0.0900,0.0900,2660.95,2665.97,2665.95,2640.95,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,STOP_LOSS,9859.00,OK,13364,2656.92,2665.97,403.0,502.0,36.27,45.18,0.8060,1.0040
8,XAUUSD,PERIOD_H1,26090401,BUY,8,9,8,9,2025.01.15 06:00:00,2025.01.15 22:54:01,60841,16.9003,0.0900,0.0900,2676.14,2696.14,2671.14,2696.14,180.00,0.00,0.00,0.00,180.00,DEAL_REASON_TP,TAKE_PROFIT,10039.00,OK,68337,2696.14,2674.23,2000.0,191.0,180.00,17.19,4.0000,0.3820
10,XAUUSD,PERIOD_H1,26090401,SELL,10,11,10,11,2025.01.27 18:00:00,2025.01.28 15:02:03,75723,21.0342,0.1000,0.1000,2741.95,2746.97,2746.95,2721.95,-50.20,0.00,0.00,0.00,-50.20,DEAL_REASON_SL,STOP_LOSS,9988.80,OK,70386,2730.66,2746.97,1129.0,502.0,112.90,50.20,2.2580,1.0040
12,XAUUSD,PERIOD_H1,26090401,SELL,12,13,12,13,2025.02.12 13:00:00,2025.02.12 16:11:19,11479,3.1886,0.0900,0.0900,2882.59,2887.63,2887.59,2862.59,-45.36,0.00,0.00,0.00,-45.36,DEAL_REASON_SL,STOP_LOSS,9943.44,OK,15182,2863.67,2887.63,1892.0,504.0,170.28,45.36,3.7840,1.0080
14,XAUUSD,PERIOD_H1,26090401,BUY,14,15,14,15,2025.02.12 21:00:00,2025.02.12 21:18:37,1117,0.3103,0.0900,0.0900,2901.21,2896.20,2896.21,2921.21,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9898.35,OK,1114,2901.85,2896.20,64.0,501.0,5.76,45.09,0.1280,1.0020
16,XAUUSD,PERIOD_H1,26090401,SELL,16,17,16,17,2025.02.14 22:00:00,2025.02.14 22:58:41,3521,0.9781,0.0900,0.0900,2880.45,2885.47,2885.45,2860.45,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,STOP_LOSS,9853.17,OK,4565,2877.10,2885.47,335.0,502.0,30.15,45.18,0.6700,1.0040
18,XAUUSD,PERIOD_H1,26090401,BUY,18,19,18,19,2025.02.18 11:00:00,2025.02.18 12:45:28,6328,1.7578,0.0900,0.0900,2912.55,2907.50,2907.55,2932.55,-45.45,0.00,0.00,0.00,-45.45,DEAL_REASON_SL,STOP_LOSS,9807.72,OK,4901,2913.45,2907.50,90.0,505.0,8.10,45.45,0.1800,1.0100
20,XAUUSD,PERIOD_H1,26090401,SELL,20,21,20,21,2025.02.21 12:00:00,2025.02.21 13:14:33,4473,1.2425,0.0900,0.0900,2929.36,2934.40,2934.36,2909.36,-45.36,0.00,0.00,0.00,-45.36,DEAL_REASON_SL,STOP_LOSS,9762.36,OK,3374,2929.04,2934.40,32.0,504.0,2.88,45.36,0.0640,1.0080
