position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
2,XAUUSD,PERIOD_M15,26090401,BUY,2,3,2,3,2026.01.02 13:45:00,2026.01.02 14:41:09,3369,0.9358,0.1000,0.1000,4395.23,4389.67,4390.23,4415.23,-55.60,0.00,0.00,0.00,-55.60,DEAL_REASON_SL,STOP_LOSS,9944.40,OK,23165,4398.26,4389.67,303.0,556.0,30.30,55.60,0.6060,1.1120
4,XAUUSD,PERIOD_M15,26090401,SELL,4,5,4,5,2026.01.02 18:30:00,2026.01.02 18:41:25,685,0.1903,0.0900,0.0900,4321.72,4326.84,4326.72,4301.72,-46.08,0.00,0.00,0.00,-46.08,DEAL_REASON_SL,STOP_LOSS,9898.32,OK,10379,4315.34,4326.84,638.0,512.0,57.42,46.08,1.2760,1.0240
6,XAUUSD,PERIOD_M15,26090401,BUY,6,7,6,7,2026.01.05 05:00:00,2026.01.05 05:59:54,3594,0.9983,0.0900,0.0900,4405.58,4400.57,4400.58,4425.58,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9853.23,OK,46906,4414.01,4400.57,843.0,501.0,75.87,45.09,1.6860,1.0020
8,XAUUSD,PERIOD_M15,26090401,SELL,8,9,8,9,2026.01.08 08:15:00,2026.01.08 08:25:11,611,0.1697,0.0900,0.0900,4420.97,4425.98,4425.97,4400.97,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9808.14,OK,9941,4418.67,4425.98,230.0,501.0,20.70,45.09,0.4600,1.0020
10,XAUUSD,PERIOD_M15,26090401,SELL,10,11,10,11,2026.01.16 10:45:00,2026.01.16 10:54:45,585,0.1625,0.0900,0.0900,4602.17,4607.17,4607.17,4582.17,-45.00,0.00,0.00,0.00,-45.00,DEAL_REASON_SL,STOP_LOSS,9763.14,OK,3610,4601.53,4607.17,64.0,500.0,5.76,45.00,0.1280,1.0000
12,XAUUSD,PERIOD_M15,26090401,BUY,12,13,12,13,2026.01.16 14:00:00,2026.01.16 14:22:57,1377,0.3825,0.0900,0.0900,4612.67,4607.63,4607.67,4632.67,-45.36,0.00,0.00,0.00,-45.36,DEAL_REASON_SL,STOP_LOSS,9717.78,OK,8699,4613.01,4607.63,34.0,504.0,3.06,45.36,0.0680,1.0080
14,XAUUSD,PERIOD_M15,26090401,SELL,14,15,14,15,2026.01.16 15:15:00,2026.01.16 15:44:21,1761,0.4892,0.0900,0.0900,4596.25,4601.30,4601.25,4576.25,-45.45,0.00,0.00,0.00,-45.45,DEAL_REASON_SL,STOP_LOSS,9672.33,OK,31532,4582.83,4601.30,1342.0,505.0,120.78,45.45,2.6840,1.0100
16,XAUUSD,PERIOD_M15,26090401,BUY,16,17,16,17,2026.01.19 02:15:00,2026.01.19 03:16:53,3713,1.0314,0.0900,0.0900,4665.83,4660.74,4660.83,4685.83,-45.81,0.00,0.00,0.00,-45.81,DEAL_REASON_SL,STOP_LOSS,9626.52,OK,48684,4682.03,4660.74,1620.0,509.0,145.80,45.81,3.2400,1.0180
18,XAUUSD,PERIOD_M15,26090401,SELL,18,19,18,19,2026.01.30 08:45:00,2026.01.30 08:47:39,159,0.0442,0.0900,0.0900,5158.18,5163.20,5163.18,5138.18,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,STOP_LOSS,9581.34,OK,2491,5151.00,5163.20,718.0,502.0,64.62,45.18,1.4360,1.0040
20,XAUUSD,PERIOD_M15,26090401,BUY,20,21,20,21,2026.02.03 22:45:00,2026.02.03 22:47:36,156,0.0433,0.0900,0.0900,4951.93,4946.82,4946.93,4971.93,-45.99,0.00,0.00,0.00,-45.99,DEAL_REASON_SL,STOP_LOSS,9535.35,OK,2411,4956.70,4946.82,477.0,511.0,42.93,45.99,0.9540,1.0220
22,XAUUSD,PERIOD_M15,26090401,SELL,22,23,22,23,2026.02.05 07:30:00,2026.02.05 07:30:42,42,0.0117,0.0900,0.0900,4868.77,4848.74,4873.77,4848.77,180.27,0.00,0.00,0.00,180.27,DEAL_REASON_TP,TAKE_PROFIT,9715.62,OK,972,4848.74,4869.39,2003.0,62.0,180.27,5.58,4.0060,0.1240
24,XAUUSD,PERIOD_M15,26090401,BUY,24,25,24,25,2026.02.06 20:15:00,2026.02.06 20:22:47,467,0.1297,0.0900,0.0900,4965.88,4960.62,4960.88,4985.88,-47.34,0.00,0.00,0.00,-47.34,DEAL_REASON_SL,STOP_LOSS,9668.28,OK,4728,4966.57,4960.62,69.0,526.0,6.21,47.34,0.1380,1.0520
