research_join_key,signal_time,signal_time_msc,arm,max_layers,status,base_entry_bid,m5_atr,stop_distance,layers_opened,checkpoint_pass_count,checkpoint_reject_count,checkpoint_missing_count,protected_exit_count,hard_sl_exit_count,time_exit_count,gross_total_r,nominal_total_r_1bps,stress_total_r_2bps,incremental_gross_r_vs_control,incremental_nominal_r_vs_control,incremental_stress_r_vs_control
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,CONTROL_L1,1,OK,4793.51,8.46,10.58,1,0,0,0,0,0,1,0.45465440,0.40934483,0.36403526,0.00000000,0.00000000,0.00000000
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L3,3,OK,4793.51,8.46,10.58,2,1,1,0,1,0,1,0.42440712,0.33379091,0.24317469,-0.03024728,-0.07555392,-0.12086056
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L5,5,OK,4793.51,8.46,10.58,2,1,3,0,1,0,1,0.27128028,0.18067890,0.09007753,-0.18337412,-0.22866593,-0.27395773
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L7,7,OK,4793.51,8.46,10.58,2,1,5,0,1,0,1,0.24197823,0.15137978,0.06078134,-0.21267618,-0.25796505,-0.30325392
1769055300007_SELL,2026.01.22 04:15:00,1769055300007,PYRAMID_L10,10,OK,4793.51,8.46,10.58,2,1,8,0,1,0,1,0.27128028,0.18067890,0.09007753,-0.18337412,-0.22866593,-0.27395773
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,CONTROL_L1,1,OK,4918.50,4.71,5.89,1,0,0,0,0,0,1,-0.18850644,-0.27203518,-0.35556391,0.00000000,0.00000000,0.00000000
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L3,3,OK,4918.50,4.71,5.89,2,1,1,0,1,1,0,-1.00706596,-1.17403138,-1.34099680,-0.81855951,-0.90199620,-0.98543289
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L5,5,OK,4918.50,4.71,5.89,2,1,3,0,1,0,1,-0.94932525,-1.11630697,-1.28328870,-0.76081880,-0.84427179,-0.92772479
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L7,7,OK,4918.50,4.71,5.89,2,1,5,0,1,1,0,-1.02235027,-1.18932571,-1.35630115,-0.83384382,-0.91729053,-1.00073724
1769174100008_SELL,2026.01.23 13:15:00,1769174100008,PYRAMID_L10,10,OK,4918.50,4.71,5.89,4,3,6,0,3,1,0,-1.02574678,-1.35963602,-1.69352525,-0.83724033,-1.08760084,-1.33796134
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,CONTROL_L1,1,OK,5034.23,11.48,14.35,1,0,0,0,0,0,1,0.94930612,0.91421783,0.87912953,0.00000000,0.00000000,0.00000000
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L3,3,OK,5034.23,11.48,14.35,3,2,0,0,0,0,3,1.58426784,1.47912933,1.37399082,0.63496173,0.56491151,0.49486129
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L5,5,OK,5034.23,11.48,14.35,4,3,1,0,1,0,3,1.14864646,1.00853062,0.86841478,0.19934034,0.09431280,-0.01071475
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L7,7,OK,5034.23,11.48,14.35,3,2,4,0,1,0,2,1.45741490,1.35222084,1.24702678,0.50810878,0.43800301,0.36789724
1769469300010_SELL,2026.01.26 23:15:00,1769469300010,PYRAMID_L10,10,OK,5034.23,11.48,14.35,3,2,7,0,1,0,2,1.74666750,1.64142625,1.53618500,0.79736138,0.72720842,0.65705547
1769482200011_SELL,2026.01.27 02:50:00,1769482200011,CONTROL_L1,1,OK,5023.55,7.41,9.26,1,0,0,0,0,1,0,-1.00227580,-1.05653207,-1.11078835,0.00000000,0.00000000,0.00000000
1769482200011_SELL,2026.01.27 02:50:00,1769482200011,PYRAMID_L3,3,OK,5023.55,7.41,9.26,2,1,1,0,1,1,0,-1.01415622,-1.12262255,-1.23108888,-0.01188042,-0.06609048,-0.12030053
1769482200011_SELL,2026.01.27 02:50:00,1769482200011,PYRAMID_L5,5,OK,5023.55,7.41,9.26,2,1,3,0,1,1,0,-1.01847637,-1.12689561,-1.23531485,-0.01620058,-0.07036354,-0.12452650
1769482200011_SELL,2026.01.27 02:50:00,1769482200011,PYRAMID_L7,7,OK,5023.55,7.41,9.26,3,2,4,0,2,1,0,-1.01307618,-1.17572481,-1.33837343,-0.01080039,-0.11919273,-0.22758508
1769482200011_SELL,2026.01.27 02:50:00,1769482200011,PYRAMID_L10,10,OK,5023.55,7.41,9.26,3,2,7,0,2,1,0,-1.03899711,-1.20162953,-1.36426196,-0.03672131,-0.14509746,-0.25347360
1769721300024_SELL,2026.01.29 21:15:00,1769721300024,CONTROL_L1,1,OK,5306.71,23.10,28.88,1,0,0,0,0,0,1,-0.26940391,-0.28777985,-0.30615580,0.00000000,0.00000000,0.00000000
1769721300024_SELL,2026.01.29 21:15:00,1769721300024,PYRAMID_L3,3,OK,5306.71,23.10,28.88,1,0,2,0,0,0,1,-0.26940391,-0.28777985,-0.30615580,0.00000000,0.00000000,0.00000000
1769721300024_SELL,2026.01.29 21:15:00,1769721300024,PYRAMID_L5,5,OK,5306.71,23.10,28.88,1,0,4,0,0,0,1,-0.26940391,-0.28777985,-0.30615580,0.00000000,0.00000000,0.00000000
1769721300024_SELL,2026.01.29 21:15:00,1769721300024,PYRAMID_L7,7,OK,5306.71,23.10,28.88,1,0,6,0,0,0,1,-0.26940391,-0.28777985,-0.30615580,0.00000000,0.00000000,0.00000000
1769721300024_SELL,2026.01.29 21:15:00,1769721300024,PYRAMID_L10,10,OK,5306.71,23.10,28.88,1,0,9,0,0,0,1,-0.26940391,-0.28777985,-0.30615580,0.00000000,0.00000000,0.00000000
1769742000015_SELL,2026.01.30 03:00:00,1769742000015,CONTROL_L1,1,OK,5407.18,16.48,20.60,1,0,0,0,0,0,1,1.96093459,1.93468273,1.90843087,0.00000000,0.00000000,0.00000000
1769742000015_SELL,2026.01.30 03:00:00,1769742000015,PYRAMID_L3,3,OK,5407.18,16.48,20.60,3,2,0,0,0,0,3,3.85001517,3.77146287,3.69291057,1.88908058,1.83678014,1.78447970
1769742000015_SELL,2026.01.30 03:00:00,1769742000015,PYRAMID_L5,5,OK,5407.18,16.48,20.60,3,2,2,0,1,0,2,2.79745112,2.71891538,2.64037963,0.83651654,0.78423265,0.73194877
1769742000015_SELL,2026.01.30 03:00:00,1769742000015,PYRAMID_L7,7,OK,5407.18,16.48,20.60,3,2,4,0,1,0,2,3.15477914,3.07617062,2.99756210,1.19384455,1.14148789,1.08913123
1769742000015_SELL,2026.01.30 03:00:00,1769742000015,PYRAMID_L10,10,OK,5407.18,16.48,20.60,3,2,7,0,1,0,2,2.83532013,2.75671083,2.67810153,0.87438554,0.82202810,0.76967066
1769760000047_SELL,2026.01.30 08:00:00,1769760000047,CONTROL_L1,1,OK,5184.98,15.80,19.76,1,0,0,0,0,0,1,-0.42925066,-0.45549660,-0.48174254,0.00000000,0.00000000,0.00000000
1769760000047_SELL,2026.01.30 08:00:00,1769760000047,PYRAMID_L3,3,OK,5184.98,15.80,19.76,1,0,2,0,0,0,1,-0.42925066,-0.45549660,-0.48174254,0.00000000,0.00000000,0.00000000
1769760000047_SELL,2026.01.30 08:00:00,1769760000047,PYRAMID_L5,5,OK,5184.98,15.80,19.76,2,1,3,0,1,0,1,-0.59426919,-0.64674477,-0.69922036,-0.16501853,-0.19124817,-0.21747782
1769760000047_SELL,2026.01.30 08:00:00,1769760000047,PYRAMID_L7,7,OK,5184.98,15.80,19.76,1,0,6,0,0,0,1,-0.42925066,-0.45549660,-0.48174254,0.00000000,0.00000000,0.00000000
1769760000047_SELL,2026.01.30 08:00:00,1769760000047,PYRAMID_L10,10,OK,5184.98,15.80,19.76,2,1,8,0,1,0,1,-0.59426919,-0.64674477,-0.69922036,-0.16501853,-0.19124817,-0.21747782
1769784600035_SELL,2026.01.30 14:50:00,1769784600035,CONTROL_L1,1,OK,5066.15,22.65,28.31,1,0,0,0,0,1,0,-1.00058655,-1.01847967,-1.03637279,0.00000000,0.00000000,0.00000000
1769784600035_SELL,2026.01.30 14:50:00,1769784600035,PYRAMID_L3,3,OK,5066.15,22.65,28.31,1,0,2,0,0,1,0,-1.00058655,-1.01847967,-1.03637279,0.00000000,0.00000000,0.00000000
1769784600035_SELL,2026.01.30 14:50:00,1769784600035,PYRAMID_L5,5,OK,5066.15,22.65,28.31,1,0,4,0,0,1,0,-1.00058655,-1.01847967,-1.03637279,0.00000000,0.00000000,0.00000000
1769784600035_SELL,2026.01.30 14:50:00,1769784600035,PYRAMID_L7,7,OK,5066.15,22.65,28.31,1,0,6,0,0,1,0,-1.00058655,-1.01847967,-1.03637279,0.00000000,0.00000000,0.00000000
1769784600035_SELL,2026.01.30 14:50:00,1769784600035,PYRAMID_L10,10,OK,5066.15,22.65,28.31,1,0,9,0,0,1,0,-1.00058655,-1.01847967,-1.03637279,0.00000000,0.00000000,0.00000000
1769792400039_SELL,2026.01.30 17:00:00,1769792400039,CONTROL_L1,1,OK,5033.17,31.48,39.35,1,0,0,0,0,0,1,0.82644823,0.81365717,0.80086610,0.00000000,0.00000000,0.00000000
1769792400039_SELL,2026.01.30 17:00:00,1769792400039,PYRAMID_L3,3,OK,5033.17,31.48,39.35,3,2,0,0,1,0,2,0.67701663,0.63882842,0.60064021,-0.14943160,-0.17482874,-0.20022589
1769792400039_SELL,2026.01.30 17:00:00,1769792400039,PYRAMID_L5,5,OK,5033.17,31.48,39.35,3,2,2,0,1,0,2,0.61119557,0.57299852,0.53480146,-0.21525266,-0.24065865,-0.26606464
1769792400039_SELL,2026.01.30 17:00:00,1769792400039,PYRAMID_L7,7,OK,5033.17,31.48,39.35,3,2,4,0,1,0,2,0.52606022,0.48789608,0.44973193,-0.30038801,-0.32576109,-0.35113417
1769792400039_SELL,2026.01.30 17:00:00,1769792400039,PYRAMID_L10,10,OK,5033.17,31.48,39.35,5,4,5,0,2,0,3,0.81374146,0.75013168,0.68652191,-0.01270677,-0.06352548,-0.11434420
1769813100051_SELL,2026.01.30 22:45:00,1769813100051,CONTROL_L1,1,OK,4861.74,30.30,37.88,1,0,0,0,0,0,1,0.61194107,0.59910631,0.58627154,0.00000000,0.00000000,0.00000000
1769813100051_SELL,2026.01.30 22:45:00,1769813100051,PYRAMID_L3,3,OK,4861.74,30.30,37.88,2,1,1,0,1,0,1,0.58554154,0.55987434,0.53420713,-0.02639953,-0.03923197,-0.05206441
1769813100051_SELL,2026.01.30 22:45:00,1769813100051,PYRAMID_L5,5,OK,4861.74,30.30,37.88,2,1,3,0,1,0,1,0.32814614,0.30250449,0.27686284,-0.28379493,-0.29660182,-0.30940871
1769813100051_SELL,2026.01.30 22:45:00,1769813100051,PYRAMID_L7,7,OK,4861.74,30.30,37.88,2,1,5,0,1,0,1,0.53696641,0.51130235,0.48563828,-0.07497466,-0.08780396,-0.10063326
1769813100051_SELL,2026.01.30 22:45:00,1769813100051,PYRAMID_L10,10,OK,4861.74,30.30,37.88,2,1,8,0,1,0,1,0.50739894,0.48173918,0.45607942,-0.10454213,-0.11736713,-0.13019213
1769994300011_SELL,2026.02.02 01:05:00,1769994300011,CONTROL_L1,1,OK,4828.32,31.01,38.76,1,0,0,0,0,0,1,2.20966070,2.19720425,2.18474780,0.00000000,0.00000000,0.00000000
1769994300011_SELL,2026.02.02 01:05:00,1769994300011,PYRAMID_L3,3,OK,4828.32,31.01,38.76,3,2,0,0,0,0,3,4.31999631,4.28285786,4.24571941,2.11033561,2.08565361,2.06097161
1769994300011_SELL,2026.02.02 01:05:00,1769994300011,PYRAMID_L5,5,OK,4828.32,31.01,38.76,3,2,2,0,0,1,2,3.09920070,3.06205820,3.02491570,0.88954000,0.86485395,0.84016790
1769994300011_SELL,2026.02.02 01:05:00,1769994300011,PYRAMID_L7,7,OK,4828.32,31.01,38.76,4,3,3,0,0,0,4,5.96698685,5.91744822,5.86790958,3.75732615,3.72024396,3.68316178
1769994300011_SELL,2026.02.02 01:05:00,1769994300011,PYRAMID_L10,10,OK,4828.32,31.01,38.76,3,2,7,0,1,0,2,4.08393799,4.04662579,4.00931358,1.87427729,1.84942154,1.82456578
1770000900026_SELL,2026.02.02 02:55:00,1770000900026,CONTROL_L1,1,OK,4791.37,34.86,43.57,1,0,0,0,0,0,1,0.80688468,0.79588900,0.78489331,0.00000000,0.00000000,0.00000000
1770000900026_SELL,2026.02.02 02:55:00,1770000900026,PYRAMID_L3,3,OK,4791.37,34.86,43.57,3,2,0,0,1,0,2,0.82730924,0.79443667,0.76156411,0.02042456,-0.00145232,-0.02332920
1770000900026_SELL,2026.02.02 02:55:00,1770000900026,PYRAMID_L5,5,OK,4791.37,34.86,43.57,3,2,2,0,1,1,1,-0.21204819,-0.24485664,-0.27766508,-1.01893287,-1.04074563,-1.06255839
1770000900026_SELL,2026.02.02 02:55:00,1770000900026,PYRAMID_L7,7,OK,4791.37,34.86,43.57,3,2,4,0,1,0,2,0.45071715,0.41789526,0.38507337,-0.35616753,-0.37799373,-0.39981994
1770000900026_SELL,2026.02.02 02:55:00,1770000900026,PYRAMID_L10,10,OK,4791.37,34.86,43.57,3,2,7,0,1,0,2,1.01755594,0.98465450,0.95175307,0.21067126,0.18876551,0.16685976
1770008100047_SELL,2026.02.02 04:55:00,1770008100047,CONTROL_L1,1,OK,4727.83,27.54,34.43,1,0,0,0,0,0,1,0.60498937,0.59125779,0.57752622,0.00000000,0.00000000,0.00000000
1770008100047_SELL,2026.02.02 04:55:00,1770008100047,PYRAMID_L3,3,OK,4727.83,27.54,34.43,2,1,1,0,1,0,1,0.08103314,0.05362219,0.02621123,-0.52395623,-0.53763561,-0.55131499
1770008100047_SELL,2026.02.02 04:55:00,1770008100047,PYRAMID_L5,5,OK,4727.83,27.54,34.43,2,1,3,0,1,0,1,0.01336030,-0.01404389,-0.04144807,-0.59162906,-0.60530168,-0.61897429
1770008100047_SELL,2026.02.02 04:55:00,1770008100047,PYRAMID_L7,7,OK,4727.83,27.54,34.43,3,2,4,0,2,0,1,-0.06738240,-0.10845601,-0.14952961,-0.67237176,-0.69971380,-0.72705583
1770008100047_SELL,2026.02.02 04:55:00,1770008100047,PYRAMID_L10,10,OK,4727.83,27.54,34.43,2,1,8,0,1,0,1,-0.08509932,-0.11249366,-0.13988801,-0.69008869,-0.70375146,-0.71741423
1770060000091_SELL,2026.02.02 19:20:00,1770060000091,CONTROL_L1,1,OK,4678.05,27.38,34.23,1,0,0,0,0,0,1,0.30882246,0.29515465,0.28148685,0.00000000,0.00000000,0.00000000
1770060000091_SELL,2026.02.02 19:20:00,1770060000091,PYRAMID_L3,3,OK,4678.05,27.38,34.23,2,1,1,0,1,0,1,0.18815673,0.16083278,0.13350883,-0.12066573,-0.13432187,-0.14797802
1770060000091_SELL,2026.02.02 19:20:00,1770060000091,PYRAMID_L5,5,OK,4678.05,27.38,34.23,2,1,3,0,1,0,1,0.13498200,0.10766337,0.08034473,-0.17384045,-0.18749128,-0.20114211
1770060000091_SELL,2026.02.02 19:20:00,1770060000091,PYRAMID_L7,7,OK,4678.05,27.38,34.23,3,2,4,0,2,0,1,0.08823499,0.04726313,0.00629127,-0.22058747,-0.24789152,-0.27519558
1770060000091_SELL,2026.02.02 19:20:00,1770060000091,PYRAMID_L10,10,OK,4678.05,27.38,34.23,2,1,8,0,1,0,1,0.04879219,0.02148233,-0.00582754,-0.26003026,-0.27367232,-0.28731439
1770073200031_SELL,2026.02.02 23:00:00,1770073200031,CONTROL_L1,1,OK,4652.67,21.13,26.41,1,0,0,0,0,0,1,-0.41728312,-0.43490091,-0.45251870,0.00000000,0.00000000,0.00000000
