candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,gate_result,gate_reason,research_horizon_minutes,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_trend,entry_bid,entry_ask,entry_mid,spread_points
P2F4_CANDIDATE_S1,1767315601203_BUY,XAUUSD,PERIOD_M5,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4318.72,4319.16,4318.94,44.0
P2F4_CANDIDATE_S1,1767344100162_SELL,XAUUSD,PERIOD_M5,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,REJECT,M15_NOT_BEARISH,10,4368.82458656,4353.39728947,BULLISH,4374.40,4374.56,4374.48,16.0
P2F4_CANDIDATE_S1,1767346800005_BUY,XAUUSD,PERIOD_M5,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4379.76,4379.89,4379.83,13.0
P2F4_CANDIDATE_S1,1767365100039_SELL,XAUUSD,PERIOD_M5,2026.01.02 14:45:00,1767365100039,2026.01.02 14:45:00,SELL,REJECT,M15_NOT_BEARISH,10,4388.72580195,4375.43039784,BULLISH,4388.12,4388.28,4388.20,16.0
P2F4_CANDIDATE_S1,1767366300346_BUY,XAUUSD,PERIOD_M5,2026.01.02 15:05:00,1767366300346,2026.01.02 15:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4397.55,4397.71,4397.63,16.0
P2F4_CANDIDATE_S1,1767367500039_SELL,XAUUSD,PERIOD_M5,2026.01.02 15:25:00,1767367500039,2026.01.02 15:25:00,SELL,REJECT,M15_NOT_BEARISH,10,4390.27055443,4377.10122461,BULLISH,4381.48,4381.63,4381.56,15.0
P2F4_CANDIDATE_S1,1767390300060_BUY,XAUUSD,PERIOD_M5,2026.01.02 21:45:00,1767390300060,2026.01.02 21:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4322.79,4322.88,4322.84,9.0
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4329.49007313,4346.47874761,BEARISH,4318.18,4318.28,4318.23,10.0
P2F4_CANDIDATE_S1,1767392400008_BUY,XAUUSD,PERIOD_M5,2026.01.02 22:20:00,1767392400008,2026.01.02 22:20:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4322.37,4322.57,4322.47,20.0
P2F4_CANDIDATE_S1,1767593700076_SELL,XAUUSD,PERIOD_M5,2026.01.05 06:15:00,1767593700076,2026.01.05 06:15:00,SELL,REJECT,M15_NOT_BEARISH,10,4390.61470918,4372.41913018,BULLISH,4400.10,4400.20,4400.15,10.0
P2F4_CANDIDATE_S1,1767594300072_BUY,XAUUSD,PERIOD_M5,2026.01.05 06:25:00,1767594300072,2026.01.05 06:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4405.24,4405.32,4405.28,8.0
P2F4_CANDIDATE_S1,1767619200021_SELL,XAUUSD,PERIOD_M5,2026.01.05 13:20:00,1767619200021,2026.01.05 13:20:00,SELL,REJECT,M15_NOT_BEARISH,10,4427.17702338,4408.44064875,BULLISH,4427.69,4427.83,4427.76,14.0
P2F4_CANDIDATE_S1,1767629100008_BUY,XAUUSD,PERIOD_M5,2026.01.05 16:05:00,1767629100008,2026.01.05 16:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4422.51,4422.60,4422.56,9.0
P2F4_CANDIDATE_S1,1767647700434_SELL,XAUUSD,PERIOD_M5,2026.01.05 21:15:00,1767647700434,2026.01.05 21:15:00,SELL,REJECT,M15_NOT_BEARISH,10,4439.85197037,4428.37358362,BULLISH,4440.05,4440.21,4440.13,16.0
P2F4_CANDIDATE_S1,1767651900259_BUY,XAUUSD,PERIOD_M5,2026.01.05 22:25:00,1767651900259,2026.01.05 22:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4444.69,4444.89,4444.79,20.0
P2F4_CANDIDATE_S1,1767652800093_SELL,XAUUSD,PERIOD_M5,2026.01.05 22:40:00,1767652800093,2026.01.05 22:40:00,SELL,REJECT,M15_NOT_BEARISH,10,4441.04870849,4430.98525984,BULLISH,4441.08,4441.28,4441.18,20.0
P2F4_CANDIDATE_S1,1767654300052_BUY,XAUUSD,PERIOD_M5,2026.01.05 23:05:00,1767654300052,2026.01.05 23:05:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4446.37,4446.64,4446.51,27.0
P2F4_CANDIDATE_S1,1767663900037_SELL,XAUUSD,PERIOD_M5,2026.01.06 01:45:00,1767663900037,2026.01.06 01:45:00,SELL,REJECT,M15_NOT_BEARISH,10,4444.21975596,4435.57280727,BULLISH,4442.95,4443.16,4443.06,21.0
P2F4_CANDIDATE_S1,1767671700040_BUY,XAUUSD,PERIOD_M5,2026.01.06 03:55:00,1767671700040,2026.01.06 03:55:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4447.64,4447.85,4447.75,21.0
P2F4_CANDIDATE_S1,1767685800037_SELL,XAUUSD,PERIOD_M5,2026.01.06 07:50:00,1767685800037,2026.01.06 07:50:00,SELL,REJECT,M15_NOT_BEARISH,10,4459.48846906,4449.09993025,BULLISH,4459.83,4459.99,4459.91,16.0
P2F4_CANDIDATE_S1,1767689700032_BUY,XAUUSD,PERIOD_M5,2026.01.06 08:55:00,1767689700032,2026.01.06 08:55:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4464.76,4464.93,4464.85,17.0
P2F4_CANDIDATE_S1,1767693600008_SELL,XAUUSD,PERIOD_M5,2026.01.06 10:00:00,1767693600008,2026.01.06 10:00:00,SELL,REJECT,M15_NOT_BEARISH,10,4461.27896482,4453.05478332,BULLISH,4459.57,4459.64,4459.60,7.0
P2F4_CANDIDATE_S1,1767695100200_BUY,XAUUSD,PERIOD_M5,2026.01.06 10:25:00,1767695100200,2026.01.06 10:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4469.29,4469.40,4469.34,11.0
P2F4_CANDIDATE_S1,1767698100018_SELL,XAUUSD,PERIOD_M5,2026.01.06 11:15:00,1767698100018,2026.01.06 11:15:00,SELL,REJECT,M15_NOT_BEARISH,10,4462.65984497,4455.20940104,BULLISH,4457.96,4458.15,4458.06,19.0
