candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,trigger_r,initial_lock_r,trail_gap_r,activated,activation_time,activation_time_msc,time_to_activation_seconds,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1770700500091_SELL,XAUUSD,PERIOD_M5,2026.02.10 05:15:00,1770700500091,2026.02.10 05:15:00,SELL,10,OK,1.250000,8.73,872.64,5026.88,5026.93,5026.91,5.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.936924,10.91,5037.79,5037.79,-1.000000,TIME_EXIT,2026.02.10 05:25:00,1770701100138,5025.36,600.047,0.139347,3.0237,8490,2026.02.10 05:25:00,1770701100138,47,5025.36
P2F4_CANDIDATE_S1,1770700500091_SELL,XAUUSD,PERIOD_M5,2026.02.10 05:15:00,1770700500091,2026.02.10 05:15:00,SELL,10,OK,1.250000,8.73,872.64,5026.88,5026.93,5026.91,5.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,YES,2026.02.10 05:15:48,1770700548139,48.048,0.936924,10.91,5037.79,5026.88,0.000000,TIME_EXIT,2026.02.10 05:25:00,1770701100138,5025.36,600.047,0.139347,3.0237,8490,2026.02.10 05:25:00,1770701100138,47,5025.36
P2F4_CANDIDATE_S1,1770700500091_SELL,XAUUSD,PERIOD_M5,2026.02.10 05:15:00,1770700500091,2026.02.10 05:15:00,SELL,10,OK,1.250000,8.73,872.64,5026.88,5026.93,5026.91,5.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,YES,2026.02.10 05:18:53,1770700733650,233.559,0.936924,10.91,5037.79,5024.15,0.250000,RETENTION_STOP,2026.02.10 05:21:45,1770700905595,5024.16,405.504,0.250000,5.4249,8490,2026.02.10 05:25:00,1770701100138,47,5025.36
P2F4_CANDIDATE_S1,1770700500091_SELL,XAUUSD,PERIOD_M5,2026.02.10 05:15:00,1770700500091,2026.02.10 05:15:00,SELL,10,OK,1.250000,8.73,872.64,5026.88,5026.93,5026.91,5.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.936924,10.91,5037.79,5037.79,-1.000000,TIME_EXIT,2026.02.10 05:25:00,1770701100138,5025.36,600.047,0.139347,3.0237,8490,2026.02.10 05:25:00,1770701100138,47,5025.36
P2F4_CANDIDATE_S1,1770708000060_SELL,XAUUSD,PERIOD_M5,2026.02.10 07:20:00,1770708000060,2026.02.10 07:20:00,SELL,10,OK,1.250000,5.20,519.71,5023.59,5023.63,5023.61,4.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,1.848708,6.50,5030.09,5030.09,-1.000000,TIME_EXIT,2026.02.10 07:30:00,1770708600115,5019.42,600.055,0.641891,8.3008,4629,2026.02.10 07:30:00,1770708600115,55,5019.42
P2F4_CANDIDATE_S1,1770708000060_SELL,XAUUSD,PERIOD_M5,2026.02.10 07:20:00,1770708000060,2026.02.10 07:20:00,SELL,10,OK,1.250000,5.20,519.71,5023.59,5023.63,5023.61,4.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,YES,2026.02.10 07:24:38,1770708278319,278.259,1.848708,6.50,5030.09,5023.59,0.000000,TIME_EXIT,2026.02.10 07:30:00,1770708600115,5019.42,600.055,0.641891,8.3008,4629,2026.02.10 07:30:00,1770708600115,55,5019.42
P2F4_CANDIDATE_S1,1770708000060_SELL,XAUUSD,PERIOD_M5,2026.02.10 07:20:00,1770708000060,2026.02.10 07:20:00,SELL,10,OK,1.250000,5.20,519.71,5023.59,5023.63,5023.61,4.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,YES,2026.02.10 07:26:53,1770708413243,413.183,1.848708,6.50,5030.09,5021.97,0.250000,TIME_EXIT,2026.02.10 07:30:00,1770708600115,5019.42,600.055,0.641891,8.3008,4629,2026.02.10 07:30:00,1770708600115,55,5019.42
P2F4_CANDIDATE_S1,1770708000060_SELL,XAUUSD,PERIOD_M5,2026.02.10 07:20:00,1770708000060,2026.02.10 07:20:00,SELL,10,OK,1.250000,5.20,519.71,5023.59,5023.63,5023.61,4.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,YES,2026.02.10 07:27:24,1770708444302,444.242,1.831776,6.50,5030.09,5014.94,1.331776,RETENTION_STOP,2026.02.10 07:27:46,1770708466834,5015.01,466.774,1.331776,17.2223,4629,2026.02.10 07:30:00,1770708600115,55,5019.42
P2F4_CANDIDATE_S1,1770713700081_SELL,XAUUSD,PERIOD_M5,2026.02.10 08:55:00,1770713700081,2026.02.10 08:55:00,SELL,10,OK,1.250000,6.70,669.64,5022.23,5022.35,5022.29,12.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.422912,8.37,5030.60,5030.60,-1.000000,TIME_EXIT,2026.02.10 09:05:00,1770714300148,5029.32,600.067,-0.847019,-14.1172,6512,2026.02.10 09:05:00,1770714300148,67,5029.32
P2F4_CANDIDATE_S1,1770713700081_SELL,XAUUSD,PERIOD_M5,2026.02.10 08:55:00,1770713700081,2026.02.10 08:55:00,SELL,10,OK,1.250000,6.70,669.64,5022.23,5022.35,5022.29,12.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,NO,,,,0.422912,8.37,5030.60,5030.60,-1.000000,TIME_EXIT,2026.02.10 09:05:00,1770714300148,5029.32,600.067,-0.847019,-14.1172,6512,2026.02.10 09:05:00,1770714300148,67,5029.32
