join_key,symbol,entry_timeframe,context_timeframe,signal_time,signal_time_msc,signal_bar_time,side,context_status,server_hour,server_minute,server_day_of_week,entry_bid,entry_ask,entry_mid,spread_points,spread_bps,m5_fast_ema_bar2,m5_slow_ema_bar2,m5_fast_ema_bar1,m5_slow_ema_bar1,m5_fast_slope_points,m5_slow_slope_points,m5_ema_separation_points,m5_ema_separation_bps,m5_signal_separation_bps,m5_atr_points,m5_atr_bps,spread_to_atr_ratio,m5_bar1_open,m5_bar1_high,m5_bar1_low,m5_bar1_close,m5_bar1_direction,m5_bar1_body_points,m5_bar1_range_points,m5_bar1_body_to_range,m5_bar1_range_to_atr,m5_momentum_3bar_bps,m5_signal_momentum_3bar_bps,m15_fast_ema_bar2,m15_slow_ema_bar2,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_fast_slope_points,m15_slow_slope_points,m15_ema_separation_points,m15_ema_separation_bps,m15_trend,m15_signal_alignment
2026.01.02 01:00_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 01:00:01,1767315601203,2026.01.02 01:00:00,BUY,OK,1,0,5,4318.72,4319.16,4318.94,44.0,1.0188,4313.94225756,4313.99244075,4314.91780605,4314.43130977,97.55,43.89,48.65,1.1264,1.1264,372.21,8.6182,0.118211,4317.95,4318.82,4316.89,4318.82,BULLISH,87.00,193.00,0.450777,0.518519,9.8039,9.8039,4317.99307049,4323.22299984,4318.07182568,4323.05033318,7.88,-17.27,-497.85,-11.5272,BEARISH,COUNTER
2026.01.02 08:55_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 08:55:00,1767344100162,2026.01.02 08:55:00,SELL,OK,8,55,5,4374.40,4374.56,4374.48,16.0,0.3658,4376.86217899,4376.62345809,4376.36974319,4376.42132554,-49.24,-20.21,-5.16,-0.1179,0.1179,296.29,6.7730,0.054002,4375.81,4376.29,4373.62,4374.40,BEARISH,141.00,267.00,0.528090,0.901157,-4.6613,4.6613,4368.22927988,4352.53677068,4368.82458656,4353.39728947,59.53,86.05,1542.73,35.2666,BULLISH,COUNTER
2026.01.02 09:40_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 09:40:00,1767346800005,2026.01.02 09:40:00,BUY,OK,9,40,5,4379.76,4379.89,4379.83,13.0,0.2968,4375.51054308,4375.70749660,4376.36043446,4376.07590600,84.99,36.84,28.45,0.6496,0.6496,331.71,7.5737,0.039190,4378.91,4380.71,4378.55,4379.76,BULLISH,85.00,216.00,0.393519,0.651163,16.4663,16.4663,4370.14330102,4355.13956633,4370.49822473,4355.87409314,35.49,73.45,1462.41,33.3898,BULLISH,ALIGNED
2026.01.02 14:45_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 14:45:00,1767365100039,2026.01.02 14:45:00,SELL,OK,14,45,5,4388.12,4388.28,4388.20,16.0,0.3646,4394.14132579,4393.81885132,4392.93706064,4393.30077393,-120.43,-51.81,-36.37,-0.8288,0.8288,333.79,7.6064,0.047935,4392.63,4392.77,4385.29,4388.12,BEARISH,451.00,748.00,0.602941,2.240959,-11.6770,11.6770,4388.78957058,4374.91245489,4388.72580195,4375.43039784,-6.38,51.79,1329.54,30.2981,BULLISH,COUNTER
2026.01.02 15:05_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 15:05:00,1767366300346,2026.01.02 15:05:00,BUY,OK,15,5,5,4397.55,4397.71,4397.63,16.0,0.3638,4392.11033505,4392.72017575,4393.19626804,4393.15834159,108.59,43.82,3.79,0.0862,0.0862,367.43,8.3551,0.043546,4394.39,4397.74,4392.62,4397.54,BULLISH,315.00,512.00,0.615234,1.393468,21.9238,21.9238,4388.72580195,4375.43039784,4389.26429701,4376.17351949,53.85,74.31,1309.08,29.7678,BULLISH,ALIGNED
2026.01.02 15:25_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 15:25:00,1767367500039,2026.01.02 15:25:00,SELL,OK,15,25,5,4381.48,4381.63,4381.56,15.0,0.3423,4395.90872923,4394.53486972,4393.02298339,4393.34806338,-288.57,-118.68,-32.51,-0.7419,0.7419,493.14,11.2550,0.030417,4398.87,4399.26,4379.80,4381.48,BEARISH,1739.00,1946.00,0.893628,3.946118,-35.8180,35.8180,4389.26429701,4376.17351949,4390.27055443,4377.10122461,100.63,92.77,1316.93,30.0563,BULLISH,COUNTER
2026.01.02 21:45_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 21:45:00,1767390300060,2026.01.02 21:45:00,BUY,OK,21,45,5,4322.79,4322.88,4322.84,9.0,0.2082,4319.98495772,4320.24172573,4320.54596617,4320.47338703,56.10,23.17,7.26,0.1679,0.1679,399.29,9.2367,0.022540,4323.75,4326.30,4321.81,4322.79,BEARISH,96.00,449.00,0.213808,1.124508,9.7254,9.7254,4331.51119737,4348.64783113,4330.68060715,4347.63379853,-83.06,-101.40,-1695.32,-39.2178,BEARISH,COUNTER
2026.01.02 22:00_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,OK,22,0,5,4318.18,4318.28,4318.23,10.0,0.2316,4320.52821835,4320.48370829,4320.05857468,4320.27428026,-46.96,-20.94,-21.57,-0.4995,0.4995,360.64,8.3516,0.027728,4319.99,4320.90,4317.90,4318.18,BEARISH,181.00,300.00,0.603333,0.831848,-10.6644,10.6644,4330.68060715,4347.63379853,4329.49007313,4346.47874761,-119.05,-115.51,-1698.87,-39.3418,BEARISH,ALIGNED
2026.01.02 22:20_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.02 22:20:00,1767392400008,2026.01.02 22:20:00,BUY,OK,22,20,5,4322.37,4322.57,4322.47,20.0,0.4627,4319.75679024,4320.05356143,4320.27543219,4320.26232857,51.86,20.88,1.31,0.0303,0.0303,339.57,7.8560,0.058898,4320.01,4322.36,4318.84,4322.35,BULLISH,234.00,352.00,0.664773,1.036601,8.3357,8.3357,4329.49007313,4346.47874761,4328.58720903,4345.44075751,-90.29,-103.80,-1685.35,-38.9906,BEARISH,COUNTER
2026.01.05 06:15_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.05 06:15:00,1767593700076,2026.01.05 06:15:00,SELL,OK,6,15,1,4400.10,4400.20,4400.15,10.0,0.2273,4404.27339790,4403.95015827,4403.43871832,4403.60014388,-83.47,-35.00,-16.14,-0.3669,0.3669,418.71,9.5159,0.023883,4400.23,4401.22,4398.70,4400.10,BEARISH,13.00,252.00,0.051587,0.601842,0.3636,-0.3636,4389.61625752,4371.28929875,4390.61470918,4372.41913018,99.85,112.98,1819.56,41.3522,BULLISH,COUNTER
