candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,observed_time,observed_time_msc,observation_delay_milliseconds,entry_bid,entry_ask,entry_mid,spread_points,m5_atr,m5_atr_points,ticks_scanned,best_exit_ask,worst_exit_ask,mfe_points,mae_points,mfe_bps,mae_bps,mfe_atr,mae_atr,time_to_mfe_milliseconds,time_to_mae_milliseconds,time_to_mfe_seconds,time_to_mae_seconds,future_ask_10m,return_10m_points,return_10m_bps
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,10,OK,2026.01.02 22:10:00,1767391800110,105,4318.18,4318.28,4318.23,10.0,3.61,360.64,5680,4317.38,4320.60,80.00,242.00,1.8526,5.6042,0.221826,0.671024,25500,259092,25.500,259.092,4319.48,-130.00,-3.0105
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,10,OK,2026.01.07 06:15:00,1767766500136,82,4473.10,4473.26,4473.18,16.0,3.53,352.86,5896,4469.42,4473.92,368.00,82.00,8.2270,1.8332,1.042915,0.232389,549407,22272,549.407,22.272,4470.56,254.00,5.6784
P2F4_CANDIDATE_S1,1767789000507_SELL,XAUUSD,PERIOD_M5,2026.01.07 12:30:00,1767789000507,2026.01.07 12:30:00,SELL,10,OK,2026.01.07 12:40:00,1767789600984,477,4459.88,4460.05,4459.97,17.0,3.22,322.36,798,4459.11,4465.85,77.00,597.00,1.7265,13.3860,0.238865,1.851983,32206,536794,32.206,536.794,4464.96,-508.00,-11.3904
P2F4_CANDIDATE_S1,1767791700254_SELL,XAUUSD,PERIOD_M5,2026.01.07 13:15:00,1767791700254,2026.01.07 13:15:00,SELL,10,OK,2026.01.07 13:25:00,1767792300255,1,4461.78,4461.95,4461.86,17.0,2.84,284.07,699,4459.74,4464.43,204.00,265.00,4.5722,5.9393,0.718129,0.932864,597817,274635,597.817,274.635,4459.76,202.00,4.5273
P2F4_CANDIDATE_S1,1767803400041_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:30:00,1767803400041,2026.01.07 16:30:00,SELL,10,OK,2026.01.07 16:40:00,1767804000066,25,4444.65,4444.80,4444.73,15.0,6.29,629.00,12206,4435.88,4452.45,877.00,780.00,19.7316,17.5492,1.394277,1.240064,516637,303159,516.637,303.159,4441.22,343.00,7.7171
P2F4_CANDIDATE_S1,1767804000018_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:40:00,1767804000018,2026.01.07 16:40:00,SELL,10,OK,2026.01.07 16:50:00,1767804600035,17,4441.04,4441.22,4441.13,18.0,6.92,691.64,11702,4439.83,4447.43,121.00,639.00,2.7246,14.3885,0.174946,0.923887,179797,432541,179.797,432.541,4442.95,-191.00,-4.3008
P2F4_CANDIDATE_S1,1767816300014_SELL,XAUUSD,PERIOD_M5,2026.01.07 20:05:00,1767816300014,2026.01.07 20:05:00,SELL,10,OK,2026.01.07 20:15:00,1767816900024,10,4450.59,4450.74,4450.66,15.0,3.89,388.71,7579,4448.14,4453.01,245.00,242.00,5.5049,5.4375,0.630283,0.622565,164169,353643,164.169,353.643,4450.06,53.00,1.1909
P2F4_CANDIDATE_S1,1767827400165_SELL,XAUUSD,PERIOD_M5,2026.01.07 23:10:00,1767827400165,2026.01.07 23:10:00,SELL,10,OK,2026.01.07 23:20:01,1767828001934,1769,4452.91,4453.18,4453.05,27.0,3.56,355.57,786,4453.18,4454.80,0.00,189.00,0.0000,4.2444,0.000000,0.531539,0,303703,0.000,303.703,4454.15,-124.00,-2.7847
P2F4_CANDIDATE_S1,1767866700025_SELL,XAUUSD,PERIOD_M5,2026.01.08 10:05:00,1767866700025,2026.01.08 10:05:00,SELL,10,OK,2026.01.08 10:15:00,1767867300088,63,4425.75,4425.94,4425.84,19.0,4.26,425.79,6511,4425.94,4433.44,0.00,769.00,0.0000,17.3756,0.000000,1.806073,0,367884,0.000,367.884,4425.97,-22.00,-0.4971
P2F4_CANDIDATE_S1,1767871200003_SELL,XAUUSD,PERIOD_M5,2026.01.08 11:20:00,1767871200003,2026.01.08 11:20:00,SELL,10,OK,2026.01.08 11:30:00,1767871800018,15,4426.51,4426.61,4426.56,10.0,4.83,482.57,6047,4426.23,4431.26,28.00,475.00,0.6326,10.7308,0.058022,0.984310,1616,511276,1.616,511.276,4430.43,-392.00,-8.8557
