signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
1,XAUUSD,PERIOD_H1,26090401,2025.01.06 09:00:00,2025.01.06 09:00:00,SELL,1,2025.01.06 10:00:00,2025.01.06 10:00:00,0,OK,2631.49,2631.62,2631.55,13.0,2626.65,2626.78,2626.72,13.0,484.0,471.0,18.3922,17.8986,2643.13830481,2642.61798521,2642.03179959,2642.18277010
1,XAUUSD,PERIOD_H1,26090401,2025.01.06 09:00:00,2025.01.06 09:00:00,SELL,2,2025.01.06 11:00:00,2025.01.06 11:00:00,0,OK,2631.49,2631.62,2631.55,13.0,2631.40,2631.53,2631.47,13.0,9.0,-4.0,0.3420,-0.1520,2643.13830481,2642.61798521,2642.03179959,2642.18277010
1,XAUUSD,PERIOD_H1,26090401,2025.01.06 09:00:00,2025.01.06 09:00:00,SELL,4,2025.01.06 13:00:00,2025.01.06 13:00:00,0,OK,2631.49,2631.62,2631.55,13.0,2633.81,2633.94,2633.88,13.0,-232.0,-245.0,-8.8161,-9.3103,2643.13830481,2642.61798521,2642.03179959,2642.18277010
1,XAUUSD,PERIOD_H1,26090401,2025.01.06 09:00:00,2025.01.06 09:00:00,SELL,8,2025.01.06 17:00:00,2025.01.06 17:00:00,0,OK,2631.49,2631.62,2631.55,13.0,2631.53,2631.66,2631.60,13.0,-4.0,-17.0,-0.1520,-0.6460,2643.13830481,2642.61798521,2642.03179959,2642.18277010
1,XAUUSD,PERIOD_H1,26090401,2025.01.06 09:00:00,2025.01.06 09:00:00,SELL,12,2025.01.06 21:00:00,2025.01.06 21:00:00,0,OK,2631.49,2631.62,2631.55,13.0,2634.62,2634.75,2634.68,13.0,-313.0,-326.0,-11.8941,-12.3884,2643.13830481,2642.61798521,2642.03179959,2642.18277010
1,XAUUSD,PERIOD_H1,26090401,2025.01.06 09:00:00,2025.01.06 09:00:00,SELL,24,2025.01.07 09:00:00,2025.01.07 09:00:00,0,OK,2631.49,2631.62,2631.55,13.0,2640.21,2640.34,2640.28,13.0,-872.0,-885.0,-33.1363,-33.6311,2643.13830481,2642.61798521,2642.03179959,2642.18277010
2,XAUUSD,PERIOD_H1,26090401,2025.01.07 14:00:00,2025.01.07 14:00:00,BUY,1,2025.01.07 15:00:00,2025.01.07 15:00:00,0,OK,2648.50,2648.63,2648.57,13.0,2651.38,2651.49,2651.43,11.0,287.0,275.0,10.8361,10.3827,2639.27152487,2639.41938905,2640.14661774,2639.77392281
2,XAUUSD,PERIOD_H1,26090401,2025.01.07 14:00:00,2025.01.07 14:00:00,BUY,2,2025.01.07 16:00:00,2025.01.07 16:00:00,0,OK,2648.50,2648.63,2648.57,13.0,2662.53,2662.64,2662.59,11.0,1402.0,1390.0,52.9343,52.4800,2639.27152487,2639.41938905,2640.14661774,2639.77392281
2,XAUUSD,PERIOD_H1,26090401,2025.01.07 14:00:00,2025.01.07 14:00:00,BUY,4,2025.01.07 18:00:00,2025.01.07 18:00:00,0,OK,2648.50,2648.63,2648.57,13.0,2647.65,2647.79,2647.72,14.0,-84.5,-98.0,-3.1904,-3.7000,2639.27152487,2639.41938905,2640.14661774,2639.77392281
2,XAUUSD,PERIOD_H1,26090401,2025.01.07 14:00:00,2025.01.07 14:00:00,BUY,8,2025.01.07 22:00:00,2025.01.07 22:00:00,0,OK,2648.50,2648.63,2648.57,13.0,2649.22,2649.37,2649.30,15.0,73.0,59.0,2.7562,2.2276,2639.27152487,2639.41938905,2640.14661774,2639.77392281
