signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
1,XAUUSD,PERIOD_M15,26090401,2026.01.02 13:45:00,2026.01.02 13:45:00,BUY,1,2026.01.02 14:45:00,2026.01.02 14:45:00,0,OK,4395.06,4395.23,4395.15,17.0,4388.12,4388.28,4388.20,16.0,-694.5,-711.0,-15.8015,-16.1766,4362.59519720,4362.67829270,4363.39679727,4363.00049874
1,XAUUSD,PERIOD_M15,26090401,2026.01.02 13:45:00,2026.01.02 13:45:00,BUY,2,2026.01.02 15:45:00,2026.01.02 15:45:00,0,OK,4395.06,4395.23,4395.15,17.0,4372.63,4372.79,4372.71,16.0,-2243.5,-2260.0,-51.0450,-51.4194,4362.59519720,4362.67829270,4363.39679727,4363.00049874
1,XAUUSD,PERIOD_M15,26090401,2026.01.02 13:45:00,2026.01.02 13:45:00,BUY,4,2026.01.02 17:45:00,2026.01.02 17:45:00,0,OK,4395.06,4395.23,4395.15,17.0,4346.14,4346.25,4346.19,11.0,-4895.0,-4909.0,-111.3729,-111.6893,4362.59519720,4362.67829270,4363.39679727,4363.00049874
2,XAUUSD,PERIOD_M15,26090401,2026.01.02 18:30:00,2026.01.02 18:30:00,SELL,1,2026.01.02 19:30:00,2026.01.02 19:30:00,0,OK,4321.72,4321.88,4321.80,16.0,4328.79,4328.90,4328.84,11.0,-704.5,-718.0,-16.3011,-16.6138,4363.67351195,4363.48016763,4362.63762276,4363.06464357
2,XAUUSD,PERIOD_M15,26090401,2026.01.02 18:30:00,2026.01.02 18:30:00,SELL,2,2026.01.02 20:30:00,2026.01.02 20:30:00,0,OK,4321.72,4321.88,4321.80,16.0,4318.49,4318.69,4318.59,20.0,321.0,303.0,7.4275,7.0111,4363.67351195,4363.48016763,4362.63762276,4363.06464357
1,XAUUSD,PERIOD_M15,26090401,2026.01.02 13:45:00,2026.01.02 13:45:00,BUY,8,2026.01.02 21:45:00,2026.01.02 21:45:00,0,OK,4395.06,4395.23,4395.15,17.0,4322.79,4322.88,4322.84,9.0,-7231.0,-7244.0,-164.5224,-164.8150,4362.59519720,4362.67829270,4363.39679727,4363.00049874
2,XAUUSD,PERIOD_M15,26090401,2026.01.02 18:30:00,2026.01.02 18:30:00,SELL,4,2026.01.02 22:30:00,2026.01.02 22:30:00,0,OK,4321.72,4321.88,4321.80,16.0,4328.52,4328.70,4328.61,18.0,-681.0,-698.0,-15.7573,-16.1510,4363.67351195,4363.48016763,4362.63762276,4363.06464357
2,XAUUSD,PERIOD_M15,26090401,2026.01.02 18:30:00,2026.01.02 18:30:00,SELL,8,2026.01.03 02:30:00,,,NO_TICK_NEAR_TARGET,4321.72,4321.88,4321.80,16.0,,,,,,,,,4363.67351195,4363.48016763,4362.63762276,4363.06464357
2,XAUUSD,PERIOD_M15,26090401,2026.01.02 18:30:00,2026.01.02 18:30:00,SELL,12,2026.01.03 06:30:00,,,NO_TICK_NEAR_TARGET,4321.72,4321.88,4321.80,16.0,,,,,,,,,4363.67351195,4363.48016763,4362.63762276,4363.06464357
2,XAUUSD,PERIOD_M15,26090401,2026.01.02 18:30:00,2026.01.02 18:30:00,SELL,24,2026.01.03 18:30:00,,,NO_TICK_NEAR_TARGET,4321.72,4321.88,4321.80,16.0,,,,,,,,,4363.67351195,4363.48016763,4362.63762276,4363.06464357
