signal_id,symbol,timeframe,magic,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,target_time,target_time_msc,observed_time,observed_time_msc,delay_milliseconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,entry_spread_bps,future_bid,future_ask,future_mid,future_spread_points,future_spread_bps,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,spread_drag_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
1,XAUUSD,PERIOD_M5,26090401,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,1,2026.06.01 02:56:00,1780282560130,2026.06.01 02:56:00,1780282560431,301,OK,4544.25,4544.50,4544.38,25.0,0.5501,4544.10,4544.35,4544.23,25.0,0.5501,-15.0,-40.0,-0.3301,-0.8802,0.5501,4540.89712093,4541.06929737,4541.56769674,4541.35845215
1,XAUUSD,PERIOD_M5,26090401,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,3,2026.06.01 02:58:00,1780282680130,2026.06.01 02:58:00,1780282680270,140,OK,4544.25,4544.50,4544.38,25.0,0.5501,4543.06,4543.31,4543.19,25.0,0.5503,-119.0,-144.0,-2.6186,-3.1687,0.5500,4540.89712093,4541.06929737,4541.56769674,4541.35845215
2,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,1,2026.06.01 03:01:00,1780282860047,2026.06.01 03:01:00,1780282860606,559,OK,4539.57,4539.82,4539.69,25.0,0.5507,4538.57,4538.78,4538.67,21.0,0.4627,102.0,79.0,2.2468,1.7403,0.5066,4541.56769674,4541.35845215,4541.16815739,4541.19586559
2,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,3,2026.06.01 03:03:00,1780282980047,2026.06.01 03:03:00,1780282980337,290,OK,4539.57,4539.82,4539.69,25.0,0.5507,4541.53,4541.74,4541.64,21.0,0.4624,-194.0,-217.0,-4.2734,-4.7802,0.5068,4541.56769674,4541.35845215,4541.16815739,4541.19586559
1,XAUUSD,PERIOD_M5,26090401,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,5,2026.06.01 03:00:00,1780282800130,2026.06.01 03:00:00,1780282800199,69,OK,4544.25,4544.50,4544.38,25.0,0.5501,4539.26,4539.46,4539.36,20.0,0.4406,-501.5,-524.0,-11.0356,-11.5304,0.4948,4540.89712093,4541.06929737,4541.56769674,4541.35845215
3,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:05:00,1780283100023,2026.06.01 03:05:00,BUY,1,2026.06.01 03:06:00,1780283160023,2026.06.01 03:06:00,1780283160071,48,OK,4544.79,4545.00,4544.90,21.0,0.4621,4543.64,4543.85,4543.75,21.0,0.4622,-115.0,-136.0,-2.5303,-2.9923,0.4620,4541.16815739,4541.19586559,4541.89252591,4541.52260509
3,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:05:00,1780283100023,2026.06.01 03:05:00,BUY,3,2026.06.01 03:08:00,1780283280023,2026.06.01 03:08:00,1780283280079,56,OK,4544.79,4545.00,4544.90,21.0,0.4621,4542.94,4543.15,4543.05,21.0,0.4622,-185.0,-206.0,-4.0705,-4.5325,0.4620,4541.16815739,4541.19586559,4541.89252591,4541.52260509
2,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,5,2026.06.01 03:05:00,1780283100047,2026.06.01 03:05:00,1780283100070,23,OK,4539.57,4539.82,4539.69,25.0,0.5507,4544.87,4545.08,4544.98,21.0,0.4620,-528.0,-551.0,-11.6307,-12.1377,0.5070,4541.56769674,4541.35845215,4541.16815739,4541.19586559
1,XAUUSD,PERIOD_M5,26090401,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,10,2026.06.01 03:05:00,1780283100130,2026.06.01 03:05:00,1780283100171,41,OK,4544.25,4544.50,4544.38,25.0,0.5501,4544.89,4545.10,4545.00,21.0,0.4620,62.0,39.0,1.3643,0.8582,0.5061,4540.89712093,4541.06929737,4541.56769674,4541.35845215
3,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:05:00,1780283100023,2026.06.01 03:05:00,BUY,5,2026.06.01 03:10:00,1780283400023,2026.06.01 03:10:00,1780283400103,80,OK,4544.79,4545.00,4544.90,21.0,0.4621,4540.72,4540.93,4540.83,21.0,0.4625,-407.0,-428.0,-8.9551,-9.4169,0.4618,4541.16815739,4541.19586559,4541.89252591,4541.52260509
2,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,10,2026.06.01 03:10:00,1780283400047,2026.06.01 03:10:00,1780283400103,56,OK,4539.57,4539.82,4539.69,25.0,0.5507,4540.72,4540.93,4540.83,21.0,0.4625,-113.0,-136.0,-2.4892,-2.9959,0.5067,4541.56769674,4541.35845215,4541.16815739,4541.19586559
1,XAUUSD,PERIOD_M5,26090401,2026.06.01 02:55:00,1780282500130,2026.06.01 02:55:00,BUY,15,2026.06.01 03:10:00,1780283400130,2026.06.01 03:10:00,1780283400405,275,OK,4544.25,4544.50,4544.38,25.0,0.5501,4540.69,4540.90,4540.80,21.0,0.4625,-358.0,-381.0,-7.8779,-8.3838,0.5059,4540.89712093,4541.06929737,4541.56769674,4541.35845215
3,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:05:00,1780283100023,2026.06.01 03:05:00,BUY,10,2026.06.01 03:15:00,1780283700023,2026.06.01 03:15:00,1780283700079,56,OK,4544.79,4545.00,4544.90,21.0,0.4621,4540.61,4540.82,4540.72,21.0,0.4625,-418.0,-439.0,-9.1971,-9.6590,0.4618,4541.16815739,4541.19586559,4541.89252591,4541.52260509
2,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:00:00,1780282800047,2026.06.01 03:00:00,SELL,15,2026.06.01 03:15:00,1780283700047,2026.06.01 03:15:00,1780283700079,32,OK,4539.57,4539.82,4539.69,25.0,0.5507,4540.61,4540.82,4540.72,21.0,0.4625,-102.0,-125.0,-2.2468,-2.7536,0.5067,4541.56769674,4541.35845215,4541.16815739,4541.19586559
4,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:20:00,1780284000034,2026.06.01 03:20:00,SELL,1,2026.06.01 03:21:00,1780284060034,2026.06.01 03:21:00,1780284060071,37,OK,4538.34,4538.55,4538.44,21.0,0.4627,4539.24,4539.45,4539.34,21.0,0.4626,-90.0,-111.0,-1.9831,-2.4458,0.4628,4541.47881659,4541.38752486,4540.85105327,4541.11047715
4,XAUUSD,PERIOD_M5,26090401,2026.06.01 03:20:00,1780284000034,2026.06.01 03:20:00,SELL,3,2026.06.01 03:23:00,1780284180034,2026.06.01 03:23:00,1780284180100,66,OK,4538.34,4538.55,4538.44,21.0,0.4627,4540.09,4540.30,4540.19,21.0,0.4625,-175.0,-196.0,-3.8559,-4.3188,0.4628,4541.47881659,4541.38752486,4540.85105327,4541.11047715
