candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,entry_bid,entry_ask,entry_mid,spread_points,m5_atr,m5_atr_points,stop_atr_multiplier,stop_distance,stop_price,stop_hit,stop_hit_time,stop_hit_time_msc,stop_hit_ask,time_to_stop_seconds,ticks_scanned,best_exit_ask,worst_exit_ask,mfe_points,mae_points,mfe_bps,mae_bps,mfe_atr,mae_atr,time_to_mfe_seconds,time_to_mae_seconds,observed_time,observed_time_msc,observation_delay_milliseconds,future_ask,time_exit_return_points,time_exit_return_bps,time_exit_return_r,simulated_exit_mode,simulated_return_bps,simulated_return_r
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,5,OK,4318.18,4318.28,4318.23,10.0,3.61,360.64,1.250000,4.51,4322.69,NO,,,,,3079,4317.38,4320.60,80.00,242.00,1.8526,5.6042,0.221826,0.671024,25.500,259.092,2026.01.02 22:05:00,1767391500036,31,4318.94,-76.00,-1.7600,-0.168588,TIME_EXIT,-1.7600,-0.168588
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,10,OK,4318.18,4318.28,4318.23,10.0,3.61,360.64,1.250000,4.51,4322.69,NO,,,,,5679,4317.38,4320.60,80.00,242.00,1.8526,5.6042,0.221826,0.671024,25.500,259.092,2026.01.02 22:10:00,1767391800110,105,4319.48,-130.00,-3.0105,-0.288374,TIME_EXIT,-3.0105,-0.288374
P2F4_CANDIDATE_S1,1767391200005_SELL,XAUUSD,PERIOD_M5,2026.01.02 22:00:00,1767391200005,2026.01.02 22:00:00,SELL,15,OK,4318.18,4318.28,4318.23,10.0,3.61,360.64,1.250000,4.51,4322.69,NO,,,,,8651,4317.38,4321.74,80.00,356.00,1.8526,8.2442,0.221826,0.987126,25.500,719.808,2026.01.02 22:15:00,1767392100033,28,4320.21,-203.00,-4.7011,-0.450307,TIME_EXIT,-4.7011,-0.450307
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,5,OK,4473.10,4473.26,4473.18,16.0,3.53,352.86,1.250000,4.41,4477.51,NO,,,,,2769,4470.43,4473.92,267.00,82.00,5.9690,1.8332,0.756680,0.232389,91.240,22.272,2026.01.07 06:10:00,1767766200285,231,4471.65,145.00,3.2416,0.328745,TIME_EXIT,3.2416,0.328745
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,10,OK,4473.10,4473.26,4473.18,16.0,3.53,352.86,1.250000,4.41,4477.51,NO,,,,,5895,4469.42,4473.92,368.00,82.00,8.2270,1.8332,1.042915,0.232389,549.407,22.272,2026.01.07 06:15:00,1767766500136,82,4470.56,254.00,5.6784,0.575870,TIME_EXIT,5.6784,0.575870
P2F4_CANDIDATE_S1,1767765900054_SELL,XAUUSD,PERIOD_M5,2026.01.07 06:05:00,1767765900054,2026.01.07 06:05:00,SELL,15,OK,4473.10,4473.26,4473.18,16.0,3.53,352.86,1.250000,4.41,4477.51,NO,,,,,8568,4467.23,4473.92,587.00,82.00,13.1229,1.8332,1.663563,0.232389,825.296,22.272,2026.01.07 06:20:00,1767766800261,207,4468.79,431.00,9.6354,0.977166,TIME_EXIT,9.6354,0.977166
P2F4_CANDIDATE_S1,1767789000507_SELL,XAUUSD,PERIOD_M5,2026.01.07 12:30:00,1767789000507,2026.01.07 12:30:00,SELL,5,OK,4459.88,4460.05,4459.97,17.0,3.22,322.36,1.250000,4.03,4463.91,YES,2026.01.07 12:34:09,1767789249010,4464.05,248.503,433,4459.11,4464.78,77.00,490.00,1.7265,10.9868,0.238865,1.520053,32.206,271.373,2026.01.07 12:35:00,1767789300853,346,4464.28,-440.00,-9.8657,-1.091957,HARD_SL,-9.0349,-1.000000
P2F4_CANDIDATE_S1,1767789000507_SELL,XAUUSD,PERIOD_M5,2026.01.07 12:30:00,1767789000507,2026.01.07 12:30:00,SELL,10,OK,4459.88,4460.05,4459.97,17.0,3.22,322.36,1.250000,4.03,4463.91,YES,2026.01.07 12:34:09,1767789249010,4464.05,248.503,797,4459.11,4465.85,77.00,597.00,1.7265,13.3860,0.238865,1.851983,32.206,536.794,2026.01.07 12:40:00,1767789600984,477,4464.96,-508.00,-11.3904,-1.260713,HARD_SL,-9.0349,-1.000000
P2F4_CANDIDATE_S1,1767789000507_SELL,XAUUSD,PERIOD_M5,2026.01.07 12:30:00,1767789000507,2026.01.07 12:30:00,SELL,15,OK,4459.88,4460.05,4459.97,17.0,3.22,322.36,1.250000,4.03,4463.91,YES,2026.01.07 12:34:09,1767789249010,4464.05,248.503,1158,4459.11,4467.58,77.00,770.00,1.7265,17.2650,0.238865,2.388655,32.206,684.630,2026.01.07 12:45:00,1767789900793,286,4466.12,-624.00,-13.9914,-1.548593,HARD_SL,-9.0349,-1.000000
P2F4_CANDIDATE_S1,1767791700254_SELL,XAUUSD,PERIOD_M5,2026.01.07 13:15:00,1767791700254,2026.01.07 13:15:00,SELL,5,OK,4461.78,4461.95,4461.86,17.0,2.84,284.07,1.250000,3.55,4465.33,NO,,,,,359,4460.51,4464.43,127.00,265.00,2.8464,5.9393,0.447071,0.932864,70.929,274.635,2026.01.07 13:20:00,1767792000646,392,4462.90,-112.00,-2.5102,-0.315414,TIME_EXIT,-2.5102,-0.315414
P2F4_CANDIDATE_S1,1767791700254_SELL,XAUUSD,PERIOD_M5,2026.01.07 13:15:00,1767791700254,2026.01.07 13:15:00,SELL,10,OK,4461.78,4461.95,4461.86,17.0,2.84,284.07,1.250000,3.55,4465.33,NO,,,,,698,4459.74,4464.43,204.00,265.00,4.5722,5.9393,0.718129,0.932864,597.817,274.635,2026.01.07 13:25:00,1767792300255,1,4459.76,202.00,4.5273,0.568871,TIME_EXIT,4.5273,0.568871
P2F4_CANDIDATE_S1,1767791700254_SELL,XAUUSD,PERIOD_M5,2026.01.07 13:15:00,1767791700254,2026.01.07 13:15:00,SELL,15,OK,4461.78,4461.95,4461.86,17.0,2.84,284.07,1.250000,3.55,4465.33,NO,,,,,1095,4455.66,4464.43,612.00,265.00,13.7165,5.9393,2.154388,0.932864,664.098,274.635,2026.01.07 13:30:00,1767792600478,224,4459.37,241.00,5.4014,0.678703,TIME_EXIT,5.4014,0.678703
P2F4_CANDIDATE_S1,1767803400041_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:30:00,1767803400041,2026.01.07 16:30:00,SELL,5,OK,4444.65,4444.80,4444.73,15.0,6.29,629.00,1.250000,7.86,4452.51,NO,,,,,6111,4440.91,4450.55,374.00,590.00,8.4146,13.2744,0.594595,0.937997,1.257,73.062,2026.01.07 16:35:00,1767803700078,37,4449.49,-484.00,-10.8895,-0.615580,TIME_EXIT,-10.8895,-0.615580
P2F4_CANDIDATE_S1,1767803400041_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:30:00,1767803400041,2026.01.07 16:30:00,SELL,10,OK,4444.65,4444.80,4444.73,15.0,6.29,629.00,1.250000,7.86,4452.51,NO,,,,,12205,4435.88,4452.45,877.00,780.00,19.7316,17.5492,1.394277,1.240064,516.637,303.159,2026.01.07 16:40:00,1767804000066,25,4441.22,343.00,7.7171,0.436248,TIME_EXIT,7.7171,0.436248
P2F4_CANDIDATE_S1,1767804000018_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:40:00,1767804000018,2026.01.07 16:40:00,SELL,5,OK,4441.04,4441.22,4441.13,18.0,6.92,691.64,1.250000,8.65,4449.69,NO,,,,,5748,4439.83,4446.08,121.00,504.00,2.7246,11.3487,0.174946,0.728700,179.797,82.600,2026.01.07 16:45:00,1767804300080,62,4444.37,-333.00,-7.4982,-0.385170,TIME_EXIT,-7.4982,-0.385170
P2F4_CANDIDATE_S1,1767803400041_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:30:00,1767803400041,2026.01.07 16:30:00,SELL,15,OK,4444.65,4444.80,4444.73,15.0,6.29,629.00,1.250000,7.86,4452.51,NO,,,,,17952,4435.88,4452.45,877.00,780.00,19.7316,17.5492,1.394277,1.240064,516.637,303.159,2026.01.07 16:45:00,1767804300080,39,4444.37,28.00,0.6300,0.035612,TIME_EXIT,0.6300,0.035612
P2F4_CANDIDATE_S1,1767804000018_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:40:00,1767804000018,2026.01.07 16:40:00,SELL,10,OK,4441.04,4441.22,4441.13,18.0,6.92,691.64,1.250000,8.65,4449.69,NO,,,,,11701,4439.83,4447.43,121.00,639.00,2.7246,14.3885,0.174946,0.923887,179.797,432.541,2026.01.07 16:50:00,1767804600035,17,4442.95,-191.00,-4.3008,-0.220923,TIME_EXIT,-4.3008,-0.220923
P2F4_CANDIDATE_S1,1767804000018_SELL,XAUUSD,PERIOD_M5,2026.01.07 16:40:00,1767804000018,2026.01.07 16:40:00,SELL,15,OK,4441.04,4441.22,4441.13,18.0,6.92,691.64,1.250000,8.65,4449.69,YES,2026.01.07 16:52:57,1767804777062,4449.69,777.044,17429,4439.83,4450.27,121.00,923.00,2.7246,20.7834,0.174946,1.334504,179.797,781.852,2026.01.07 16:55:00,1767804900048,30,4446.85,-581.00,-13.0825,-0.672023,HARD_SL,-19.4674,-1.000000
