feature,partition,n,spearman
m5_atr_bps,JAN_JUN,340,0.10570421772998634
m5_atr_bps,JUL_AUG,88,0.16639075763446162
m5_atr_bps,ALL,428,0.10367050627253169
spread_to_atr_ratio,JAN_JUN,340,-0.05362188462172053
spread_to_atr_ratio,JUL_AUG,88,-0.05522020719738984
spread_to_atr_ratio,ALL,428,-0.045406184753601
m5_fast_slope_points,JAN_JUN,340,-0.05234321689125135
m5_fast_slope_points,JUL_AUG,88,-0.14936071290197597
m5_fast_slope_points,ALL,428,-0.05930594835323821
m15_fast_slope_points,JAN_JUN,340,-0.08953569254019929
m15_fast_slope_points,JUL_AUG,88,0.027684951591228458
m15_fast_slope_points,ALL,428,-0.06651371706037558
m15_ema_separation_bps,JAN_JUN,340,-0.07653699426465627
m15_ema_separation_bps,JUL_AUG,88,0.07727801063717375
m15_ema_separation_bps,ALL,428,-0.046596424871283154
m5_signal_momentum_3bar_bps,JAN_JUN,340,-0.009386606743494117
m5_signal_momentum_3bar_bps,JUL_AUG,88,0.04119263146771864
m5_signal_momentum_3bar_bps,ALL,428,-0.006276548639042894
m5_bar1_body_to_range,JAN_JUN,340,0.056989200775897426
m5_bar1_body_to_range,JUL_AUG,88,-0.142650840054947
m5_bar1_body_to_range,ALL,428,0.01875901097366749
m5_bar1_range_to_atr,JAN_JUN,340,-0.02652027826416166
m5_bar1_range_to_atr,JUL_AUG,88,0.06966996583424324
m5_bar1_range_to_atr,ALL,428,-0.007702730852723192
sell_close_location,JAN_JUN,340,0.06527298378076005
sell_close_location,JUL_AUG,88,-0.09378013182143227
sell_close_location,ALL,428,0.035093535479673664
upper_minus_lower_wick_ratio,JAN_JUN,340,0.01006318495529424
upper_minus_lower_wick_ratio,JUL_AUG,88,-0.03499348385051601
upper_minus_lower_wick_ratio,ALL,428,0.0029504737640175054
