opportunity,time,cap,extra_cost_bps,tickets,total_R,incremental_R
1769055300007_SELL,2026.01.22 04:15:00,1,0,1,0.4546544,0.0
1769174100008_SELL,2026.01.23 13:15:00,1,0,1,-0.18850644,0.0
1769469300010_SELL,2026.01.26 23:15:00,1,0,1,0.94930612,0.0
1769482200011_SELL,2026.01.27 02:50:00,1,0,1,-1.0022758,0.0
1769721300024_SELL,2026.01.29 21:15:00,1,0,1,-0.26940391,0.0
1769742000015_SELL,2026.01.30 03:00:00,1,0,1,1.96093459,0.0
1769760000047_SELL,2026.01.30 08:00:00,1,0,1,-0.42925066,0.0
1769784600035_SELL,2026.01.30 14:50:00,1,0,1,-1.00058655,0.0
1769792400039_SELL,2026.01.30 17:00:00,1,0,1,0.82644823,0.0
1769813100051_SELL,2026.01.30 22:45:00,1,0,1,0.61194107,0.0
1769994300011_SELL,2026.02.02 01:05:00,1,0,1,2.2096607,0.0
1770000900026_SELL,2026.02.02 02:55:00,1,0,1,0.80688468,0.0
1770008100047_SELL,2026.02.02 04:55:00,1,0,1,0.60498937,0.0
1770060000091_SELL,2026.02.02 19:20:00,1,0,1,0.30882246,0.0
1770073200031_SELL,2026.02.02 23:00:00,1,0,1,-0.41728312,0.0
1770288900046_SELL,2026.02.05 10:55:00,1,0,1,1.35745513,0.0
1770299400010_SELL,2026.02.05 13:50:00,1,0,1,0.24547742,0.0
1770311700035_SELL,2026.02.05 17:15:00,1,0,1,-0.08686913,0.0
1770312300005_SELL,2026.02.05 17:25:00,1,0,1,0.53135513,0.0
1770324900011_SELL,2026.02.05 20:55:00,1,0,1,0.2299469,0.0
1770348000038_SELL,2026.02.06 03:20:00,1,0,1,0.1543075,0.0
1770700500091_SELL,2026.02.10 05:15:00,1,0,1,0.13934681,0.0
1770708000060_SELL,2026.02.10 07:20:00,1,0,1,0.64189115,0.0
1770713700081_SELL,2026.02.10 08:55:00,1,0,1,-0.84701867,0.0
1770754200012_SELL,2026.02.10 20:10:00,1,0,1,1.19525692,0.0
1770767100003_SELL,2026.02.10 23:45:00,1,0,1,-0.34362889,0.0
1770871800022_SELL,2026.02.12 04:50:00,1,0,1,-0.75439739,0.0
1770892800280_SELL,2026.02.12 10:40:00,1,0,1,-0.34051221,0.0
1770913800023_SELL,2026.02.12 16:30:00,1,0,1,-1.01268179,0.0
1770919800044_SELL,2026.02.12 18:10:00,1,0,1,11.77598249,0.0
1770934800047_SELL,2026.02.12 22:20:00,1,0,1,1.30358188,0.0
1770965700033_SELL,2026.02.13 06:55:00,1,0,1,-0.74356846,0.0
1770982200032_SELL,2026.02.13 11:30:00,1,0,1,-0.01980239,0.0
1771292400019_SELL,2026.02.17 01:40:00,1,0,1,-0.57923411,0.0
1771303500080_SELL,2026.02.17 04:45:00,1,0,1,-0.4131007,0.0
1771305300049_SELL,2026.02.17 05:15:00,1,0,1,0.577858,0.0
1771365900046_SELL,2026.02.17 22:05:00,1,0,1,-0.09659001,0.0
1771922100025_SELL,2026.02.24 08:35:00,1,0,1,-0.33137558,0.0
