opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1767391200005_CTXSELL,2026.01.02 22:00:00,JAN_JUN,10,0,4318.18,4319.48,-3.01052758337835,-3.01052758337835,0.0,0.0,0
1767391200005_CTXSELL,2026.01.02 22:00:00,JAN_JUN,10,1,4317.83,4319.48,-3.8213639721796278,-3.01052758337835,-0.810836388801278,-0.8105266570646981,125
1767391200005_CTXSELL,2026.01.02 22:00:00,JAN_JUN,10,3,4318.17,4319.48,-3.0336925132625407,-3.01052758337835,-0.023164929884190943,-0.023157904488044216,33
1767391200005_CTXSELL,2026.01.02 22:00:00,JAN_JUN,10,5,4318.76,4319.48,-1.6671451990834063,-3.01052758337835,1.3433823842949435,1.3431584602770776,31
1767765900054_CTXSELL,2026.01.07 06:05:00,JAN_JUN,10,0,4473.1,4470.56,5.678388589568674,5.678388589568674,0.0,0.0,0
1767765900054_CTXSELL,2026.01.07 06:05:00,JAN_JUN,10,1,4471.75,4470.56,2.6611505562690216,5.678388589568674,-3.0172380332996522,-3.018041179496018,110
1767765900054_CTXSELL,2026.01.07 06:05:00,JAN_JUN,10,3,4471.84,4470.56,2.8623564349344908,5.678388589568674,-2.816032154634183,-2.816838434196012,358
1767765900054_CTXSELL,2026.01.07 06:05:00,JAN_JUN,10,5,4471.44,4470.56,1.968046088059327,5.678388589568674,-3.7103425015093467,-3.7110728577513665,231
1767789000507_CTXSELL,2026.01.07 12:30:00,JAN_JUN,10,0,4459.88,4464.96,-11.39044099841235,-11.39044099841235,0.0,0.0,0
1767789000507_CTXSELL,2026.01.07 12:30:00,JAN_JUN,10,1,4459.65,4464.96,-11.906763983721593,-11.39044099841235,-0.5163229853092428,-0.5157089428425718,256
1767789000507_CTXSELL,2026.01.07 12:30:00,JAN_JUN,10,3,4461.26,4464.96,-8.293621084625908,-11.39044099841235,3.096819913786442,3.0942536570493133,143
1767789000507_CTXSELL,2026.01.07 12:30:00,JAN_JUN,10,5,4464.11,4464.96,-1.9040749443906264,-11.39044099841235,9.486366054021724,9.484560122692905,346
1767791700254_CTXSELL,2026.01.07 13:15:00,JAN_JUN,10,0,4461.78,4459.76,4.527341106014925,4.527341106014925,0.0,0.0,0
1767791700254_CTXSELL,2026.01.07 13:15:00,JAN_JUN,10,1,4460.7,4459.76,2.1072925773972693,4.527341106014925,-2.4200485286176554,-2.4205586111370962,429
1767791700254_CTXSELL,2026.01.07 13:15:00,JAN_JUN,10,3,4462.78,4459.76,6.7670824015513364,4.527341106014925,2.2397412955364118,2.24125797327524,92
1767791700254_CTXSELL,2026.01.07 13:15:00,JAN_JUN,10,5,4462.73,4459.76,6.655119175928961,4.527341106014925,2.1277780699140365,2.1291950746110704,392
1767803400041_CTXSELL,2026.01.07 16:30:00,JAN_JUN,10,0,4444.65,4441.22,7.71714308213106,7.71714308213106,0.0,0.0,0
